Park Property Id,Park Name,Park Street,Park City,Park State,Park Zip,Park Details,Park Image Link,Park Page Link
1044252,Shelby West,12277 Conservation Trail,Shelby Twp.,MI,48315,"
",https://s3.amazonaws.com/mobilehomes/photo/f0/f040/f0400abd-42b9-4fb8-8b58-a38597771962_350.jpg,https://www.mhbay.com/mobile-home-parks/1044252-shelby-west-in-shelby-twp-mi
1044031,Shelby Forest,13955 Bronte Dr N,Shelby Twp.,MI,48315,"
",https://s3.amazonaws.com/mobilehomes/photo/e2/e291/e291f73d-48af-4657-8805-de4960a0f778_350.jpg,https://www.mhbay.com/mobile-home-parks/1044031-shelby-forest-in-shelby-twp-mi
877536,Hidden Ridge RV Resort,2306 12th St.,Hopkins,MI,49328,"
",https://s3.amazonaws.com/mobilehomes/photo/2d/2dbe/2dbe951d-dd8f-47f4-9100-906cd7836e01_350.jpg,https://www.mhbay.com/mobile-home-parks/877536-hidden-ridge-rv-resort-in-hopkins-mi
788889,Evergreen Village  -  Directory,946 N. Smith St.,Hesperia,MI,49421,"
You'll feel right at home at Evergreen Village in Hesperia, Michigan. This is a community with great amenities and a convenient location. With easy access to downtown Evergreen, you are always just minutes from the local post office, schools, restaur...
",https://s3.amazonaws.com/mobilehomes/photo/ea/ea98/ea985b46-cd92-4488-8b88-210784cad3bb_350.jpg,https://www.mhbay.com/mobile-home-parks/788889-evergreen-village-directory-in-hesperia-mi
788884,Meadows MHP - Directory,411 S. Grover Ave,Alma,MI,48801,"
Meadows is a wonderful community located in the heart of Michigan. Perfectly situated between Lake Superior and Lake Huron, Meadows is just minutes from city parks and several recreational opportunities. Additionally, the city has excellent dining op...
",https://s3.amazonaws.com/mobilehomes/photo/dc/dcee/dceec17b-267b-40bb-b009-d071597936e6_350.jpg,https://www.mhbay.com/mobile-home-parks/788884-meadows-mhp-directory-in-alma-mi
540377,Hunters Crossing,150 Hunters Crossing Blvd.,Capac,MI,48014,"
",https://s3.amazonaws.com/mobilehomes/photo/8c/8c4e/8c4eb1cf-007f-4c4a-ac97-6758bdeb7001_350.jpg,https://www.mhbay.com/mobile-home-parks/540377-hunters-crossing-in-capac-mi
540230,Town & Country,849 Manor Lane,Traverse City,MI,49686,"
",https://s3.amazonaws.com/mobilehomes/photo/51/512a/512a0256-550b-4c92-bb03-7261b971cb95_350.jpg,https://www.mhbay.com/mobile-home-parks/540230-town-country-in-traverse-city-mi
540159,Sheffield Estates,165 S. Opdyke,Auburn Hills,MI,48326,"
",https://s3.amazonaws.com/mobilehomes/photo/71/71b4/71b4e2c4-f096-4c0f-8830-15a74bb0d1e0_350.jpg,https://www.mhbay.com/mobile-home-parks/540159-sheffield-estates-in-auburn-hills-mi
539849,Holiday West Village,3611 Butternut Dr.,Holland,MI,49424,"
",https://s3.amazonaws.com/mobilehomes/photo/4d/4d97/4d97a637-b1b4-415a-9b6c-9e6b03136dd3_350.jpg,https://www.mhbay.com/mobile-home-parks/539849-holiday-west-village-in-holland-mi
539728,Dutton Mill Village,6720 W. Mill Run,Caledonia,MI,49316,"
",https://s3.amazonaws.com/mobilehomes/photo/0f/0ffb/0ffb47e9-9ff3-46ff-85b2-a8f46d25b994_350.jpg,https://www.mhbay.com/mobile-home-parks/539728-dutton-mill-village-in-caledonia-mi
1011942,Spruce Tree Mobile Home Park,14200 18 1/2 Mile Rd.,Marshall,MI,49068,"
Our community is Located on the outskirts of beautiful Marshall, Michigan.  Marshall is a great place to live. A short distance away from I94 and I69. Year-round events include a New Year’s Day auction, a quilt show in March, celebration of Michigan ...
",https://s3.amazonaws.com/mobilehomes/photo/4f/4f2e/4f2eaa52-7e95-4cb5-a0df-d4bb744ac9e6_350.jpg,https://www.mhbay.com/mobile-home-parks/1011942-spruce-tree-mobile-home-park-in-marshall-mi
1011941,Franklin Woods,1950 S. 13th St.,Niles,MI,49120,"
",https://s3.amazonaws.com/mobilehomes/photo/ae/ae4a/ae4a95aa-eba2-45af-8ccf-a4b11ac83294_350.jpg,https://www.mhbay.com/mobile-home-parks/1011941-franklin-woods-in-niles-mi
549504,Country Acres,300 Kristy Jo,Cadillac,MI,49601,"
",https://s3.amazonaws.com/mobilehomes/photo/dd/dd28/dd28006c-5bf0-43cf-bca2-f6259382a287_350.jpg,https://www.mhbay.com/mobile-home-parks/549504-country-acres-in-cadillac-mi
547142,Oak Island Village,16430 Park Lake Rd.,East Lansing,MI,48823,"
",https://s3.amazonaws.com/mobilehomes/photo/96/9687/9687864d-5785-4e3a-acdc-b5df5dbab590_350.jpg,https://www.mhbay.com/mobile-home-parks/547142-oak-island-village-in-east-lansing-mi
540369,Windsor Woods Village,1135 W. Superior St.,Wayland,MI,49348,"
",https://s3.amazonaws.com/mobilehomes/photo/28/28d3/28d38a3a-fa3d-4c42-bf23-0a086aa7aa44_350.jpg,https://www.mhbay.com/mobile-home-parks/540369-windsor-woods-village-in-wayland-mi
